,Unnamed: 0,RODADA,MANDANTE,GOLS_MANDANTE,VISITANTE,GOLS_VISITANTE,ANO,RESULTADO,RESULTADO_PREDITO
77,293,10,Chapecoense,0.0,Atlético-PR,0.0,2016,,Empate
78,285,20,Chapecoense,1.0,Internacional,0.0,2016,,Vitória_Mandante
79,294,24,Chapecoense,1.0,Coritiba,0.0,2016,,Vitória_Mandante
80,316,34,Chapecoense,1.0,Figueirense,0.0,2016,,Vitória_Mandante
81,276,36,Chapecoense,2.0,São Paulo,0.0,2016,,Vitória_Mandante
82,292,30,Chapecoense,3.0,Sport,0.0,2016,,Vitória_Mandante
83,277,32,Chapecoense,0.0,Santos,1.0,2016,,Vitória_Visitante
84,275,18,Chapecoense,1.0,Palmeiras,1.0,2016,,Vitória_Mandante
85,344,4,Chapecoense,1.0,Santa Cruz,1.0,2016,,Vitória_Mandante
86,263,16,Chapecoense,2.0,Botafogo,1.0,2016,,Vitória_Mandante
87,327,2,Chapecoense,3.0,América-MG,1.0,2016,,Vitória_Mandante
88,264,14,Chapecoense,0.0,Corinthians,2.0,2016,,Vitória_Visitante
89,303,26,Chapecoense,2.0,Ponte Preta,2.0,2016,,Vitória_Mandante
90,283,12,Chapecoense,3.0,Cruzeiro,2.0,2016,,Vitória_Mandante
91,262,22,Chapecoense,1.0,Flamengo,3.0,2016,,Vitória_Visitante
92,284,8,Chapecoense,3.0,Grêmio,3.0,2016,,Vitória_Mandante
93,287,28,Chapecoense,1.0,Vitória,4.0,2016,,Vitória_Visitante
94,282,29,Corinthians,0.0,Atlético-MG,0.0,2016,,Empate
95,284,1,Corinthians,0.0,Grêmio,0.0,2016,,Empate
96,293,37,Corinthians,0.0,Atlético-PR,0.0,2016,,Empate
97,277,5,Corinthians,1.0,Santos,0.0,2016,,Vitória_Mandante
98,285,36,Corinthians,1.0,Internacional,0.0,2016,,Vitória_Mandante
99,327,31,Corinthians,2.0,América-MG,0.0,2016,,Vitória_Mandante
100,292,23,Corinthians,3.0,Sport,0.0,2016,,Vitória_Mandante
101,303,3,Corinthians,3.0,Ponte Preta,0.0,2016,,Vitória_Mandante
102,262,13,Corinthians,4.0,Flamengo,0.0,2016,,Vitória_Mandante
103,266,27,Corinthians,0.0,Fluminense,1.0,2016,,Vitória_Mandante
104,276,15,Corinthians,1.0,São Paulo,1.0,2016,,Vitória_Mandante
105,283,19,Corinthians,1.0,Cruzeiro,1.0,2016,,Vitória_Mandante
106,315,33,Corinthians,1.0,Chapecoense,1.0,2016,,Vitória_Mandante
107,316,16,Corinthians,1.0,Figueirense,1.0,2016,,Empate
108,287,21,Corinthians,2.0,Vitória,1.0,2016,,Vitória_Mandante
109,294,6,Corinthians,2.0,Coritiba,1.0,2016,,Vitória_Mandante
110,344,11,Corinthians,2.0,Santa Cruz,1.0,2016,,Vitória_Mandante
111,263,9,Corinthians,3.0,Botafogo,1.0,2016,,Vitória_Mandante
112,275,26,Corinthians,0.0,Palmeiras,2.0,2016,,Vitória_Visitante
113,263,14,Coritiba,0.0,Botafogo,0.0,2016,,Empate
114,316,30,Coritiba,0.0,Figueirense,0.0,2016,,Empate
115,283,1,Coritiba,1.0,Cruzeiro,0.0,2016,,Empate
116,293,12,Coritiba,1.0,Atlético-PR,0.0,2016,,Empate
117,344,35,Coritiba,1.0,Santa Cruz,0.0,2016,,Vitória_Mandante
118,282,34,Coritiba,2.0,Atlético-MG,0.0,2016,,Vitória_Mandante
119,327,28,Coritiba,3.0,América-MG,0.0,2016,,Vitória_Mandante
120,284,23,Coritiba,4.0,Grêmio,0.0,2016,,Vitória_Mandante
121,287,37,Coritiba,0.0,Vitória,1.0,2016,,Vitória_Mandante
122,264,25,Coritiba,1.0,Corinthians,1.0,2016,,Empate
123,266,32,Coritiba,1.0,Fluminense,1.0,2016,,Empate
124,276,3,Coritiba,1.0,São Paulo,1.0,2016,,Vitória_Mandante
125,285,10,Coritiba,1.0,Internacional,1.0,2016,,Vitória_Mandante
126,277,21,Coritiba,2.0,Santos,1.0,2016,,Vitória_Mandante
127,303,19,Coritiba,3.0,Ponte Preta,1.0,2016,,Vitória_Mandante
128,262,17,Coritiba,0.0,Flamengo,2.0,2016,,Vitória_Mandante
129,275,8,Coritiba,2.0,Palmeiras,2.0,2016,,Vitória_Visitante
130,292,7,Coritiba,3.0,Sport,2.0,2016,,Vitória_Mandante
131,315,5,Coritiba,3.0,Chapecoense,4.0,2016,,Vitória_Mandante
132,315,31,Cruzeiro,0.0,Chapecoense,0.0,2016,,Empate
133,284,28,Cruzeiro,1.0,Grêmio,0.0,2016,,Vitória_Mandante
134,303,29,Cruzeiro,2.0,Ponte Preta,0.0,2016,,Vitória_Mandante
135,344,22,Cruzeiro,2.0,Santa Cruz,0.0,2016,,Vitória_Mandante
136,262,8,Cruzeiro,0.0,Flamengo,1.0,2016,,Vitória_Mandante
137,276,6,Cruzeiro,0.0,São Paulo,1.0,2016,,Vitória_Visitante
138,282,26,Cruzeiro,1.0,Atlético-MG,1.0,2016,,Vitória_Mandante
139,327,4,Cruzeiro,1.0,América-MG,1.0,2016,,Vitória_Mandante
140,275,11,Cruzeiro,2.0,Palmeiras,1.0,2016,,Vitória_Mandante
141,263,24,Cruzeiro,0.0,Botafogo,2.0,2016,,Vitória_Visitante
142,292,16,Cruzeiro,1.0,Sport,2.0,2016,,Vitória_Visitante
143,277,36,Cruzeiro,2.0,Santos,2.0,2016,,Vitória_Mandante
144,287,13,Cruzeiro,2.0,Vitória,2.0,2016,,Vitória_Mandante
145,294,20,Cruzeiro,2.0,Coritiba,2.0,2016,,Vitória_Mandante
146,316,2,Cruzeiro,2.0,Figueirense,2.0,2016,,Empate
147,264,38,Cruzeiro,3.0,Corinthians,2.0,2016,,Vitória_Mandante
148,266,34,Cruzeiro,4.0,Fluminense,2.0,2016,,Empate
149,285,18,Cruzeiro,4.0,Internacional,2.0,2016,,Vitória_Mandante
150,293,14,Cruzeiro,0.0,Atlético-PR,3.0,2016,,Vitória_Visitante
151,284,33,Figueirense,0.0,Grêmio,0.0,2016,,Vitória_Mandante
152,294,11,Figueirense,0.0,Coritiba,0.0,2016,,Empate
153,303,1,Figueirense,0.0,Ponte Preta,0.0,2016,,Vitória_Mandante
154,262,7,Figueirense,1.0,Flamengo,0.0,2016,,Vitória_Mandante
155,266,37,Figueirense,1.0,Fluminense,0.0,2016,,Vitória_Mandante
156,276,5,Figueirense,1.0,São Paulo,0.0,2016,,Vitória_Mandante
157,287,17,Figueirense,1.0,Vitória,0.0,2016,,Empate
158,293,23,Figueirense,1.0,Atlético-PR,0.0,2016,,Vitória_Mandante
159,263,29,Figueirense,0.0,Botafogo,1.0,2016,,Vitória_Mandante
160,264,35,Figueirense,1.0,Corinthians,1.0,2016,,Vitória_Mandante
161,282,13,Figueirense,1.0,Atlético-MG,1.0,2016,,Vitória_Mandante
162,292,19,Figueirense,1.0,Sport,1.0,2016,,Vitória_Mandante
