,Unnamed: 0,RODADA,GOLS_MANDANTE,GOLS_VISITANTE,ANO,RESULTADO_PREDITO,RESULTADO
90,283,12,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
91,262,22,1.0,3.0,2016,Vitória_Visitante,Vitória_Visitante
92,284,8,3.0,3.0,2016,Empate,Empate
93,287,28,1.0,4.0,2016,Vitória_Visitante,Vitória_Visitante
94,282,29,0.0,0.0,2016,Empate,Empate
95,284,1,0.0,0.0,2016,Empate,Empate
96,293,37,0.0,0.0,2016,Empate,Empate
97,277,5,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
98,285,36,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
99,327,31,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
100,292,23,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
101,303,3,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
102,262,13,4.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
103,266,27,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
104,276,15,1.0,1.0,2016,Empate,Empate
105,283,19,1.0,1.0,2016,Empate,Empate
106,315,33,1.0,1.0,2016,Empate,Empate
107,316,16,1.0,1.0,2016,Empate,Empate
108,287,21,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
109,294,6,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
110,344,11,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
111,263,9,3.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
112,275,26,0.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
113,263,14,0.0,0.0,2016,Empate,Empate
114,316,30,0.0,0.0,2016,Empate,Empate
115,283,1,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
116,293,12,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
117,344,35,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
118,282,34,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
119,327,28,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
120,284,23,4.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
121,287,37,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
122,264,25,1.0,1.0,2016,Empate,Empate
123,266,32,1.0,1.0,2016,Empate,Empate
124,276,3,1.0,1.0,2016,Empate,Empate
125,285,10,1.0,1.0,2016,Empate,Empate
126,277,21,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
127,303,19,3.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
128,262,17,0.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
129,275,8,2.0,2.0,2016,Empate,Empate
130,292,7,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
131,315,5,3.0,4.0,2016,Vitória_Visitante,Vitória_Visitante
132,315,31,0.0,0.0,2016,Empate,Empate
133,284,28,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
134,303,29,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
135,344,22,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
136,262,8,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
137,276,6,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
138,282,26,1.0,1.0,2016,Empate,Empate
139,327,4,1.0,1.0,2016,Empate,Empate
140,275,11,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
141,263,24,0.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
142,292,16,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
143,277,36,2.0,2.0,2016,Empate,Empate
144,287,13,2.0,2.0,2016,Empate,Empate
145,294,20,2.0,2.0,2016,Empate,Empate
146,316,2,2.0,2.0,2016,Empate,Empate
147,264,38,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
148,266,34,4.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
149,285,18,4.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
150,293,14,0.0,3.0,2016,Vitória_Visitante,Vitória_Visitante
151,284,33,0.0,0.0,2016,Empate,Empate
